name,year,simple_average,simple_average,expedited_average,expedited_median,complex_average,complex_median
United Sates Department of Health and Human Services,2011,35,15,556,3,1760,112
Executive Office for United States Trustees,2008,142,114,NA,NA,NA,NA
Federal Energy Regulatory Commission,2013,23,20,NA,NA,45,22
Fish & Wildlife Service,2009,9,6,NA,9,3,624
Institute of Education Scinces,2008,163,128,NA,NA,56,38
Office of Management - Regulatory Information Management Services,2008,93,34,NA,NA,123,76
Bureau of Land Management,2012,4,4,15,15,776,52
Federal Motor Carrier Safety Administration,2009,39,34,124,1,354,52
Office of Construction and Facilities Management,2012,93.02,103,NA,NA,1,98.67
Region 4 - Atlanta,2010,15,150,16,15,23,135
South Eastern Power Administration,2010,NA,NA,NA,NA,NA,NA
National Archives and Records Administration,2008,10.28,5,NA,NA,480.45,157
Bureau of Industrty and Security,2009,15,6,NA,NA,74,51
Region 10,2012,14.93,11,NA,NA,9,47.43
Federal Deposit Insurance Corporation,2012,8.81,5,NA,102,56,10.15
Saint Lawrence Seaway Development Corporation,2013,14,12,NA,NA,NA,NA
Dallas District Office,2011,12.7161,9,NA,NA,NA,NA
OFFICE OF THE U.S. TRADE REPRESENTATIVE,2011,17,9,10,7,305,374
Office of the Associate Attorney General,2012,28.94,17,42,273.83,20,148.6
Office of Legal Policy,2010,47.99,15,15,15,296,378
National Endowment for the Humanities,2008,21,19,NA,NA,67,28
Railroad Retirement Board,2009,14.35,14,NA,NA,NA,NA
Minority Business Development Agency,2010,16,16,NA,NA,NA,NA
Headquarters,2010,244.01,210,57,57,2,361.56
Armed Service Board of Contract Appeals,2009,5,5,NA,NA,5,5
Department of Defense Education Agency,2009,20,18,NA,NA,83,59
U.S. Trade and Development Agency,2011,NA,NA,62.5,62.5,155.3,48
Administrative Law Judges,2012,NA,NA,6,2,7.2,3
Centers for Medicare & Medicaid Services,2011,19,8,188,100,218,16
Inter-American Foundation,2011,13.9,15,NA,NA,NA,NA
Region 8,2012,10.94,9,NA,NA,339,33.02
Office of Public Health and Science,2009,100,24,7,8,220,153
United States Department of Commerce,2009,15,12,18,20,115,51
Federal Labor Relations Authority,2013,10.71,9,NA,NA,18,37.33
Office of the Deputy Secretary,2013,29,19,NA,NA,31.6,24
Centers for Medicare & Medicaid Services,2009,17,10,243,262,415,250
Office of Intergovermental and Public Liaison,2009,86,38,NA,NA,127,330
Administration for Community Living,2013,13,14,NA,NA,NA,NA
NASA Shared Services Center,2009,14,7,NA,NA,NA,NA
Office of Management,2008,NA,NA,NA,NA,1,1
Office of Congressional and Intergovernmental Affairs,2009,NA,NA,NA,NA,NA,NA
Office of Legislation and Congressional Affairs,2012,33,33,NA,NA,112.33,123
Executive Office for United States Attorneys,2011,124.23,46,NA,NA,69.9,58.5
Office of Management and Budget,2012,69,44,NA,NA,NA,NA
Bonneville Power Administration,2010,20.33,15,NA,NA,20,46.77
Financial Crimes Enforcement Network,2008,6,3,NA,NA,15,11
National Transportation Safety Board,2010,10.1,6,NA,NA,241,39.39
National Capital Planning Commission,2011,6,7,NA,NA,NA,NA
Executive Office for Organized Crime Drug Enforcement Task Forces,2013,26.09,21.5,NA,NA,30.75,23.5
Departmental Offices,2009,NA,NA,88,82,360,147
Environment and Natural Resources Division,2012,16.08,17,6,6,3,58.88
Bureau of the Census,2008,16,16,14,14,NA,NA
Centers for Medicare & Medicaid Services,2012,14,11,139,117,108,14
United States Postal Service,2010,17,7,8,4,495,46
United States Department of the Navy,2012,7,7,2,3,60,40
Officer of Special Education and Rehabilitative Services,2008,157,145,NA,NA,80,63
International Trade Administration,2011,60,64,NA,NA,47,57
National Guard Bureau,2009,28,21,99,99,65,65
Veterans' Employment and Training Service,2009,10.9,10,6,5,14,10
Women's Bureau,2008,16,19,NA,NA,29,20
FOIA/Privacy Act Appeals Office,2013,NA,NA,NA,NA,NA,NA
Office of the Attorney General,2009,82,22,378,349,507,477
Federal Open Market Committee,2009,3,3,NA,NA,38.5,38.5
Wage and Hour Division,2012,32.6,13,8.8,4.5,53.8,24
Veterans Health Administration,2009,10,2,NA,NA,1,1
OCR Region III - Philadelphia,2013,6.49,4.5,4,1.33,6,49.22
Office of Scientific and Technical Information,2012,11.08,10.5,NA,NA,3,3
Institute of Education Scinces,2012,38.87,29,NA,NA,98.71,44
Inspector General,2011,10,12,NA,NA,NA,NA
Agency Overall,2008,NA,NA,NA,NA,NA,NA
Tennessee Valley Authority,2012,7.7,7,NA,NA,36.4,34
Region 10,2010,31.13,17,13,1,326,62.35
Office of the Deputy Assistant Secretary for Budget,2010,NA,NA,NA,NA,NA,NA
Office of the Assistant Secretary for Administration and Management,2012,19,6,35.5,35.5,35.2,26.5
Denver Regional Office,2012,NA,NA,NA,NA,NA,NA
Naval Reactors,2010,NA,NA,NA,NA,NA,NA
Department of Homeland Security,2012,72,44,59.67,22,98.6,98
Region 8,2013,25.52,16,NA,NA,14,47.79
Central Intelligence Agency,2011,23.95,10,33.17,11,113.76,32
Miami District Office,2012,18.62,19,NA,NA,NA,NA
"Research, Education, and Economics",2010,NA,NA,NA,NA,13,12
"United States Section, International Boundary and Water Commission",2013,14.6,19,NA,NA,64,54
Defense Nuclear Facilities Safety Board,2013,14.53,14,NA,NA,7,7
Office of Finance,2010,18.28,9,NA,NA,NA,NA
Federal Railroad Administration,2008,113,41,NA,NA,NA,NA
Office of the Pardon Attorney,2012,3.91,2,NA,NA,NA,NA
OCR Region II - New York,2010,36,23,NA,NA,61,20
"Adjudicatory Boards (ARB, BRB, ECAB)",2010,6,4,NA,NA,NA,NA
Environmental Protection Agency,2008,42.95,20,51,46,60.91,37
Office of the Assistant Secretary for Administration and Management,2009,NA,NA,27,20,30.4,23
United States Copyright Office,2009,106,19,NA,NA,NA,NA
United States Commission on Civil Rights,2011,40,14,NA,NA,NA,NA
Bureau of Labor Statistics,2011,15.3,17,11,11,75,75
Justice Management Division,2011,26.06,17,NA,NA,127.24,48
Region 8 - Denver,2012,18.48,14,NA,NA,1,17.52
Office of Postsecondary Education,2013,28.78,19,NA,NA,37.09,27
Defense Technical Information Center,2011,22,20,NA,NA,NA,NA
Office of Diversity and Inclusion (formerly DM&EEO - Office of Diversity Management and Equal Employment Opportunity),2009,NA,NA,NA,NA,NA,NA
Office of The Inspector General,2009,6,4,52,51,55,49
AMTRAK (National Railroad Passenger Corporation),2012,7.87,6,9.5,9.5,104.08,31
National Institutes of Health,2012,16,13,NA,NA,78,54
Selective Service System,2012,2,2,NA,NA,NA,NA
Appeals,2008,NA,NA,NA,NA,NA,NA
Defense Intelligence Agency,2012,7,6,NA,NA,786,469
Office of the Deputy Attorney General,2009,123,38,433,488,680,804
Federal Maritime Commission,2013,7.5,4,77.5,23.5,444.5,523.5
United States Department of Commerce,2010,16,20,17,20,30,50
Federal Mediation and Conciliation Service,2009,6,6,2,2,NA,NA
Committee for Purchase From People Who Are Blind or Severely Disabled,2010,1.7,2,NA,NA,8.5,6.5
Board of Veterans' Appeals,2012,26.38,21,NA,NA,NA,NA
Office of the Solicitor General,2011,14.03,13,NA,NA,4,74.73
National Institute of Standards and Technology,2010,26,5,NA,NA,NA,NA
Defense Security Service,2011,12,7,NA,NA,NA,NA
Federal Law Enforcement Training Center,2010,51,21,NA,NA,NA,NA
Departmental Offices,2011,23,2,169,30,240,36
South Eastern Power Administration,2013,2.2,2,NA,NA,NA,NA
Office of Navajo and Hopi Indian Relocation,2012,5.5,3,NA,NA,NA,NA
Bureau of the Census,2011,23,19,26,10,NA,NA
Privacy Office,2013,16.47,7,21.3,16.5,62.89,38
Office of Workers Compensation Programs,2011,46.4,10,13,13,38,19
Office of General Counsel,2012,31,27,NA,NA,NA,NA
Centers for Disease Control and Prevention,2009,49,16,1.5,1.5,84,27
Idaho Operations Office,2011,14.22,13,NA,NA,NA,NA
Golden Field Office,2012,130,6.06,NA,NA,NA,NA
National Protection and Programs Directorate,2010,29.69,24,NA,NA,195.71,171
Office of Surface Mining,2010,42,13,NA,NA,NA,NA
Johnson Space Center,2012,5.97,3,NA,NA,115,22.53
Office of Science and Technology Policy,2013,10.8,8,2,2,234,38.6
"United States Section, International Boundary and Water Commission",2011,NA,NA,4.4,4,27.3,29
Office of Justice Programs,2008,12.99,8,NA,NA,60.8,40.5
United States Department of Labor,2009,16.83,8,20.08,10,42.57,18
Federal Housing Finance Agency FOIA,2011,10.74,7,NA,NA,81,52.5
United States Department of Labor,2008,23.25,9,16.5,6,16.37,13
Office of Information & Technology,2009,9.25,6,NA,NA,NA,NA
Office of the Attorney General,2008,104,46,148,88,656,682
"Adjudicatory Boards (ARB, BRB, ECAB)",2011,17.2,12.5,26,26,368,368
National Endowment for the Arts,2013,27,6,10,11.5,25,253
Farm Credit System Insurance Corporation,2010,12.625,13,NA,NA,NA,NA
Defense Finance and Accounting Service,2011,16,18,NA,NA,2,26
Council on Environmental Quality,2008,81,20,NA,NA,NA,NA
International Trade Administration,2012,84,31,NA,NA,177,158
National Institutes of Health,2010,27,14,NA,NA,NA,NA
Region 2,2012,18.88,16,71,71,4,70.34
Office of Operations Coordination,2011,3.11,1,NA,NA,9.17,10
Department of Transportation,2013,24.88,14,NA,601,1074,55.825
United States Department of the Army,2008,36,6,21,5,41,30
OCR Regional Enforcement Office - Seattle,2009,3,3,NA,NA,7,6
Federal Election Commission,2010,52.6,20,2,2,65,65
Department of Homeland Security,2013,36.7087,11,44.0112,21,92.6486,37.5
Federal Service Impasses Panel,2013,9.31,3,NA,NA,NA,NA
Office of the Under Secretary,2013,312,312,NA,NA,NA,NA
United States Strategic Command,2012,10,8,NA,NA,31,56
Kennedy Space Center,2012,8,7,NA,NA,121,27.95
Economic and Statistics Administration/Bureau of Economic Analysis,2010,7,6,NA,NA,NA,NA
Armed Service Board of Contract Appeals,2012,21,18,NA,NA,NA,NA
Head Quarters,2009,27,6,44,31,424,445
Office of Administration,2013,19.5,16,NA,NA,112.94,47
United States Railroad Retirement Board,2009,160.18,26,NA,NA,NA,NA
United States Office of Personnel Management,2012,16,7,81,27,102,121
Drug Enforcement Administration,2013,10.24,3,355,49,871,83.6
Forest Service,2010,16.42,13,NA,NA,38.5,29
Boston Regional Office,2008,8,9,NA,NA,NA,NA
San Francisco Regional Office,2008,7,7,NA,NA,NA,NA
Occupational Safety and Health Review Commission,2009,9,8,5,5,28,28
Federal Deposit Insurance Corporation,2010,41,19,146,2,377,30
Millennium Challenge Corporation,2011,14,16,NA,NA,NA,NA
Goddard Space Flight Center,2012,12.18,3,NA,NA,103,27.04
Health Resources and Services Administration,2008,NA,NA,NA,NA,18,15
Council of the Inspectors General on Integrity and Efficiency,2011,14,13,NA,NA,NA,NA
General Counsel,2013,62,62,2,2,50.43,39.5
United States Northern Command,2012,30,26,NA,NA,NA,NA
National Oceanic and Atmospheric Administration,2008,10,9,10,8,55,57
Selective Service System,2008,4,8,NA,NA,NA,NA
United States Coast Guard,2009,15.23,6,1.78,1,378.93,195
Tax Division,2011,6.03,3,NA,NA,25,82.5
Institute of Museum and Library Services,2013,8.9,9,NA,NA,24.8,24.5
National Institutes of Health,2008,NA,NA,NA,NA,40,20
OCR District of Columbia,2012,18.27,10.5,NA,NA,110.13,74.5
Office of the Assistant Secretary for Administration and Management,2013,18.8,7.5,NA,NA,51.8,29
National Archives and Records Administration,2009,10.91,5,NA,NA,264.16,41
Minerals Management Service,2008,1,1,NA,NA,NA,26.13
Office of Legal Policy,2011,17.21,9,16,92.5,24,128.85
Defense Commissary Agency,2010,11,9,NA,NA,NA,NA
Office of the General Manager,2008,4.6,2,NA,NA,NA,NA
Administration on Aging,2010,NA,NA,NA,NA,4,NA
National Geospatial Command,2013,255,155,NA,NA,NA,NA
Bureau of Land Management,2011,5,3,2,2,672,38
Glenn Research Center,2011,14,11,NA,NA,1,35.21
Federal Railroad Administration,2009,86,31,NA,NA,NA,NA
National Park Service,2011,15,3,42,21,16,7
Chicago Operations Office,2011,5.6,4,NA,NA,41,19.5
Federal Railroad Administration,2011,82,31,NA,NA,11.5,11.5
Dallas Regional Office,2008,7,7,NA,NA,NA,NA
Richland Operations Office,2011,8.53,6,NA,NA,43,43
Federal Mine Safety and Health Review Commission,2009,6,5,NA,NA,NA,NA
Centers for Disease Control and Prevention,2010,90.18,18,145.22,121,95.26,35
OCR Region II - New York,2011,20.94,3.5,NA,NA,63.82,49
Foreign Claims Settlement Commission,2008,15.7,20,NA,NA,NA,NA
NASA Shared Services Center,2012,9.75,9,NA,NA,20.18,13
United States Special Operations Command,2012,5,3,NA,NA,317,122
Department of Defense Education Agency,2011,27,20,NA,NA,53,52
United States Marshals Service,2011,9.75,1,9,9.5,2,66
United States Transportation Command,2009,16,2,NA,NA,102,55
Pipeline and Hazardous Materials Safety Administration,2012,11,4,NA,252,569,93
Kennedy Space Center,2013,3.73,2.5,NA,NA,135,22.02
Fish & Wildlife Service,2011,3,2,28,5,1278,43
Central Intelligence Agency,2013,35.18,13,1032,1032,186.02,62
Federal Mine Safety and Health Review Commission,2008,8,5,NA,NA,NA,NA
Occupational Safety and Health Administration,2011,12.9,5,9.4,5,18.4,7
Department of Defense Inspector General,2010,6,2,NA,NA,32,12
Defense Contract Audit Agency,2010,23,6,NA,NA,81,77
Federal Emergency Management Agency,2011,395.19,369,537.78,487,216,102
Food Safety and Inspection Service,2013,29.39,14,NA,NA,61,71
Office of Surface Mining,2013,49,18,NA,NA,NA,NA
Executive Office for United States Attorneys,2013,107.58,63,NA,NA,284.33,28
Institute of Education Scinces,2010,43,32,NA,NA,31,29
Office of Civil Rights & Civil Liberties,2009,38.2,38,NA,NA,91.5,91.5
Federal Mediation and Conciliation Service,2013,3.5,2,1,8.3,1,13.9
Office of the General Manager,2010,6,2,NA,NA,47,47
Office of the Comptroller of the Currency,2009,9,4,3,2,13,6
National Park Service,2013,13,14,64,2,545,28
Office of Legal Counsel,2008,46.8,35,NA,NA,253.5,134
Region 9,2011,16.65,14,NA,NA,59,204.6
Savannah River Office,2011,17.76,12,NA,NA,NA,NA
Defense Contract Audit Agency,2012,6,4,NA,NA,19,12
Office of Scientific and Technical Information,2009,7,6,NA,NA,NA,NA
Office of the Inspector General,2012,13,6,3,1,173,91
Natural Resources Conservation Service,2011,12,15,NA,NA,22,20
Research and Innovative Technology Administration,2012,12,6,6,5,21,17
OCR Region XII - Cleveland,2012,15.39,17,NA,NA,66.75,25
United States Department of State,2012,88.51,66.43,1559,46,3035,559.9
Idaho Operations Office,2012,8.95,7,NA,NA,13,13
Drug Enforcement Administration,2010,125.46,74,NA,NA,8,46.9
Inter-American Foundation,2009,14.4,14,NA,NA,NA,NA
Region 5,2010,15.7,15,18,1,558,105.47
Office of the Deputy Attorney General,2008,133,102,190,179,830,758
Special Inspector General for Afghanistan Reconstruction,2012,61,13,NA,NA,NA,NA
United States Transportation Command,2012,6,14,8,8,105,57
Employee Benefits Security Administration,2013,16.1,16,NA,NA,30.9,10
Office of Operations Coordination,2013,2.75,2,NA,NA,5.86,4
Employment and Training Administration,2013,12.6,9,213,213,14.7,10
Environmental Protection Agency,2011,47.39,20,6,27.11,3,96.36
Office of English Language Acquisition,2008,310,318,NA,NA,158,25
Recovery Accountability and Transparency Board,2012,10.4,8,NA,NA,NA,NA
United States Joint Forces Command,2011,21,12,NA,NA,372,58
OCR Region III - Philadelphia,2011,10.28,8,3.5,3.5,24.38,28
Bureau of Labor Statistics,2013,18.3,16,NA,NA,38.8,21
Maritime Administration,2011,239,146,20,20,450,529
Food and Nutrition Consumer Service,2010,19,12,NA,NA,NA,NA
National Credit Union Administration,2011,13.56,11,48,50,39.65,34
Carlsbad Field Office,2010,7.38,5,NA,NA,NA,NA
Special Inspector General for Iraq Reconstruction,2011,12,12,NA,NA,NA,NA
Civil Rights Division,2008,11,5,NA,NA,50,118
Office of Small Business Programs,2008,19,12,NA,NA,23.2,19
Philadelphia District Office,2010,13.5979,9,NA,NA,NA,NA
Department of Housing and Urban Development,2012,20.13,16,8.4,9,44.75,34
OCR Region I - Boston,2013,12.57,11,NA,NA,1,57.41
United States Nuclear Regulatory Commission,2008,15,11,NA,NA,178,56
Financial Crimes Enforcement Network,2010,1.4,2,1,1,6.5,5
Indian Health Service,2011,13,15,NA,NA,96,85
Council of the Inspectors General on Integrity and Efficiency,2012,13,10,NA,NA,82,88
National Institutes of Health,2013,15,12,NA,NA,70,43
Federal Railroad Administration,2012,76,39,NA,NA,NA,NA
American Battle Monuments Commission,2011,10,8,NA,NA,NA,NA
Indianapolis District Office,2011,9.06876,9,NA,NA,NA,NA
Institute of Museum and Library Services,2010,9.6,9,NA,NA,55.3,55.5
Washington Regional Office,2012,1,1,NA,NA,NA,NA
NASA Shared Services Center,2010,17.35,14,NA,NA,2,25.5
National Science Foundation,2011,23,18,NA,NA,25,25
Assistant General Counsel for Administration,2011,NA,NA,NA,NA,NA,NA
National Technical Information Service,2008,10,11,1,2,NA,NA
Overseas Private Investment Corporation,2009,12,10,94,27.5,NA,NA
Office of Congressional and Intergovernmental Affairs,2013,30.4,7.5,NA,NA,83.2,81
Office of the Deputy Assistant Secretary for Budget,2008,NA,NA,NA,NA,NA,NA
Langley Research Center,2011,35,6.22,NA,NA,NA,841
Executive Office for Immigration Review,2013,16.4,13,66,9,16,11.17
OCR Region I - Boston,2012,64.27,29.5,NA,NA,197.3,107
Office of English Language Acquisition,2013,NA,NA,NA,NA,NA,NA
Atlanta Regional Office,2010,3,10,NA,NA,NA,NA
Agency for Healthcare Research and Quality,2013,NA,NA,NA,NA,NA,NA
United States Department of the Air Force,2013,14,8,22,11,82,40
Department of Transportation,2009,37,11,NA,291,1086,58
Department of Education,2010,57,30,113,23,45,23
Veterans' Employment and Training Service,2012,811.9,793,7.5,7.5,60.3,26
Tax Division,2009,7,2,NA,NA,64,75
Office of Community Oriented Policing Services,2013,7.87,6,NA,NA,NA,NA
Federal Emergency Management Agency,2012,247.98,146,8,8,359.38,86
Consumer Protection Financial Board,2011,11,13,NA,NA,13,13
Office of the Under Secretary,2008,618,618,NA,NA,NA,NA
Pacific Northwest Site Office,2009,12,12,NA,NA,NA,NA
Defense Finance and Accounting Service,2008,18,14,NA,NA,39,32
Region 2,2008,99.7,88,64.5,64.5,92.25,52.5
United States Office of Personnel Management,2009,37,64,NA,NA,51,60
Armed Forces Retirement Home,2012,111,14.5,NA,NA,NA,NA
Administration for Children and Families,2011,138,12,10,3,236,95
Region 3,2008,20.11,21,NA,NA,40.56,34
Office of the Attorney General,2013,29.05,18,997,7,1132,366.4
National Highway Traffic Safety Administration,2010,28,21,NA,NA,NA,NA
Langley Research Center,2008,101,101,NA,NA,377,396
National Reconnaissance Office,2013,8,11,NA,NA,137,110
Region 5 - Chicago,2013,19.49,19,NA,NA,13.71,17
United States Marshals Service,2012,11.05,2,120,120,24,38.5
United States Transportation Command,2008,8,7,NA,NA,51,43
National Protection and Programs Directorate,2013,44.22,35,13.5,13.5,37.26,25
New York District Office,2011,48.8708,29,NA,NA,NA,NA
United States Coast Guard,2013,10.83,11,NA,NA,97.29,35
Office of the Secretary of Defense/Joint Staff,2011,17,6,266,266,1,504
National Aeronautics and Space Administration,2010,54.25,13,NA,172,1329,181.68
Minority Business Development Agency,2011,NA,NA,NA,NA,40,30
Financial Crimes Enforcement Network,2012,1,1,NA,NA,6,5
Central Intelligence Agency,2010,19,10,5,5,109,32
Environment and Natural Resources Division,2013,30.52,18,45.5,45.5,112.33,98
National Oceanic and Atmospheric Administration,2012,101,52,NA,NA,27,16
Office of Policy,2008,18,21.5,NA,NA,124.5,91
Defense Contract Audit Agency,2009,8,7,NA,NA,25,20
Office of Information and Technology (005),2012,9.73,11,NA,NA,31.88,9
Federal Maritime Commission,2011,242.3,231.5,NA,NA,27.6,19
National Security Agency,2011,86,18,279,9,962,595
National Nuclear Security Administration,2012,32.26,6,2,70.33,1,110.52
Office of The Federal Detention Trustee,2011,11.75,8.5,21,24,28,11
San Francisco District Office,2011,9.03789,7,NA,NA,NA,NA
Region 9,2009,18.55,18,NA,NA,26,192.9
Houston District Office,2013,9.18,8,NA,NA,1,1
United States Department of Commerce,2008,13,10,7,9,109,69
National Cemetary Administration,2011,30.57,26,NA,NA,NA,NA
Office of the General Counsel,2009,3,3,NA,NA,NA,NA
Equal Employment Opportunity Commission,2013,17.52,16,NA,NA,7.09,3
Pipeline and Hazardous Materials Safety Administration,2013,19,6,601,1,639,51
Civil Rights Division,2009,9,4,NA,NA,50,138
National Credit Union Administration,2008,12,9.5,19,19,30.5,20
United States Special Operations Command,2009,293,14,1120,934,418,397
Federal Trade Commission,2013,7.36,4,8,8,27.6,18
Headquarters,2012,6.33,2,NA,NA,896,62.58
"Adjudicatory Boards (ARB, BRB, ECAB)",2013,18.6,10,17,17,NA,NA
OCR Regional Enforcement Office - New York,2009,20,7,NA,NA,39,21
Department of Transportation,2012,20.714,13,NA,252,1472,61.912
Federal Communications Commission,2008,22.75,19,NA,NA,NA,NA
Office of the Deputy Secretary,2012,122.6,26,NA,NA,240.66,294
USPS General Counsel,2011,NA,NA,NA,NA,NA,NA
Office of Management,2009,14,15,NA,NA,3,3
Administration on Aging,2008,NA,NA,NA,NA,6,6
United States Department of the Navy,2013,7,5,21,2,43,20
Environment and Natural Resources Division,2009,34.8,29,NA,NA,192.7,201
Golden Field Office,2009,31,16,NA,NA,NA,NA
United States Merit Systems Protection Board,2008,9.2,11,NA,NA,30,47.5
Mine Safety and Health Administration,2010,NA,NA,51.2,31,17.3,10
Office of Legal Counsel,2013,22.91,13,11,239,6,199.47
St. Louis District Office,2012,18.25,19,NA,NA,NA,NA
Chemical Safety and Hazard Investigation Board,2010,16,20,27,27,669,725
National Mediation Board,2009,14,14,12,9,NA,NA
Bureau of Industrty and Security,2010,25,15,3,1,225,225
Office of Federal Contractor Compliance Programs,2013,9.8,5,2,2,40.9,24
Region 1 - Boston,2011,20,22,NA,NA,46,43
Policy and Planning,2008,NA,NA,NA,NA,10,10
Office of Legal Policy,2009,54,24,507,601,672,725
National Reconnaissance Office,2012,9,7,NA,NA,218,103
Millennium Challenge Corporation,2013,17,18,NA,NA,NA,NA
Employment Standards Administration,2009,NA,NA,NA,NA,NA,NA
Marshall Space Flight Center,2010,14.45,11,8,19.75,5,49.5
Officer of Special Education and Rehabilitative Services,2013,14.24,9,NA,NA,38,27
Office of National Drug Control Policy,2009,11,10,NA,NA,NA,NA
Office of the Chief Information Officer,2011,155,145,NA,NA,128,137.5
Office of the Secretary of Defense/Joint Staff,2013,8,5,NA,NA,3208,336
United States Nuclear Regulatory Commission,2010,11,9,NA,NA,219,53
"FOIA Policy, Office of Executive Secretariat and Regulatory Affairs",2013,NA,NA,NA,NA,NA,NA
United States Africa Command,2010,34,34,NA,NA,NA,NA
U. S. General Services  Administration,2012,49.73,35,NA,NA,NA,NA
Office of Assistant Secretary for Human Resources and Administration (006),2013,61,61,NA,NA,288,288
United States Securities and Exchange Commission,2008,158,66,3,2,575,570
Chemical Safety and Hazard Investigation Board,2009,19,20,NA,NA,360,268
Office of Information and Technology (005),2011,20.66,5,NA,NA,NA,NA
Johnson Space Center,2008,7,7,30,30,75,75
Office of English Language Acquisition,2012,19.2,24,NA,NA,279,279
OCR Region VII- Kansas City,2010,41,40,NA,NA,18,18
National Energy Technology Laboratory,2013,18.86,4,NA,NA,NA,NA
Office of Innovation and Improvement,2008,253,219,NA,NA,85,53
Office of Disability Employment Policy,2010,2,4,NA,NA,NA,NA
United States Commission on Civil Rights,2012,7,1,NA,NA,22,10
Internal Revenue Service,2008,NA,NA,4,4,24,15
National Cemetary Administration,2013,23.75,20,NA,NA,38.19,31
Office of Science and Technology Policy,2011,14.74,9,11.8,6,107.5,52
Department of Veterans Affairs,2008,NA,NA,NA,NA,2104,1
Veterans Health Administration,2011,1.49,0.5,NA,53,682,11.6
San Francisco District Office,2012,18.25,18,NA,NA,NA,NA
National Reconnaissance Office,2009,13,13,NA,NA,218,136
Veterans' Employment and Training Service,2010,13.1,14,4.4,5,26.34,12
National Institute of Standards and Technology,2009,31,28,NA,NA,NA,NA
Defense Technology and Research Agency,2012,12,5,NA,NA,58,35
Carlsbad Field Office,2008,5,3,7,7,18,23
Bureau of Labor Statistics,2009,12,12,NA,NA,NA,NA
United States Southern Command,2009,7,6,NA,NA,339,115
United States Africa Command,2013,35,39,NA,NA,445,128
Office of Community Oriented Policing Services,2011,7.09,6,NA,NA,NA,NA
Substance Abuse and Mental Health Services Administration,2009,20,12,NA,NA,75,68
Office of Finance,2012,66,66,NA,NA,31.45,20.5
Office of Information & Technology,2010,11.13,4,NA,NA,NA,NA
Veterans Benefits Administration,2009,30,397,NA,NA,5,5
Office of the Deputy Assistant Secretary for Intergovernmenal Affairs,2013,NA,NA,NA,NA,NA,NA
Economic Development Administration,2013,10,10,NA,NA,38,33
Federal Emergency Management Agency,2008,127,59,36,36,285,258
National Institute of Standards and Technology,2011,49,7.5,NA,NA,NA,NA
Bureau of Engraving and Printing,2009,7.8,7,NA,NA,17.9,26
United States Agency for International Development,2012,163.02,73,12,154.12,280.2,145
Oak Ridge Office,2010,26.83,18,6,4,372,82.24
Region 7,2010,18.68,18,6,6,6,60.75
Department of Energy,2011,32.31,11,268,18,1092,117.08
United States Patent and Trademark Office,2012,11,11,NA,NA,NA,NA
Administration,2008,NA,NA,NA,NA,NA,NA
Employment Standards Administration,2008,11.9,6,5.5,3,26.6,9
Office of the Chief Information Officer,2010,NA,NA,NA,NA,NA,NA
Office of General Counsel (International Law Division):  (Appeals and Litigation Only),2013,NA,NA,NA,NA,NA,NA
Railroad Retirement Board,2011,15.86,13,NA,NA,NA,NA
