Office of the Chief Financial Officer,department-of-agriculture--office-of-the-chief-financial-officer,yes,https://efoia-pal.usda.gov/palMain.aspx
Office of the Chief Information Officer,department-of-agriculture--office-of-the-chief-information-officer,yes,https://efoia-pal.usda.gov/palMain.aspx
Risk Management Agency,department-of-agriculture--risk-management-agency,yes,https://efoia-pal.usda.gov/palMain.aspx
Rural Development,department-of-agriculture--rural-development,yes,https://efoia-pal.usda.gov/palMain.aspx
Atlanta District Office (Savanna Local Office),equal-employment-opportunity-commission--atlanta-district-office-savanna-local-office,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"Birmingham District Office (Mobile Local Office, Jackson Area Office)",equal-employment-opportunity-commission--birmingham-district-office-mobile-local-office-jac,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"Charlotte District Office (Greensboro; Greenville, Norfolk, Richmond Local Offices; Raleigh Area Office",equal-employment-opportunity-commission--charlotte-district-office-greensboro-greenville-no,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
Chicago District Office (Milwaukee and Minneapolis Area Offices),equal-employment-opportunity-commission--chicago-district-office-milwaukee-and-minneapolis-,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"Dallas District Office (San Antonio Field Office, El Paso Area Office)",equal-employment-opportunity-commission--dallas-district-office-san-antonio-field-office-el,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
Headquarters,equal-employment-opportunity-commission--headquarters,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
Houston District Office (New Orleans Field Office),equal-employment-opportunity-commission--houston-district-office-new-orleans-field-office,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"Indianapolis District Office (Detroit Field Office, Cincinnati and Louisville Area Offices)",equal-employment-opportunity-commission--indianapolis-district-office-detroit-field-office-,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"Los Angeles District Office (Fresno, Honolulu, Las Vegas, and San Diego Local Offices)",equal-employment-opportunity-commission--los-angeles-district-office-fresno-honolulu-las-ve,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
Memphis District Office (Little Rock and Nashville Area Offices),equal-employment-opportunity-commission--memphis-district-office-little-rock-and-nashville-,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
Miami District Office (Tampa Field Office and San Juan Local Office),equal-employment-opportunity-commission--miami-district-office-tampa-field-office-and-san-j,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"New York District Office (Boston and Newark Area Offices, Buffalo Local Office)",equal-employment-opportunity-commission--new-york-district-office-boston-and-newark-area-of,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"Philadelphia District Office (Baltimore and Cleveland Field Offices, Pittsburgh Area Office)",equal-employment-opportunity-commission--philadelphia-district-office-baltimore-and-clevela,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"Phoenix District Office (Denver Field Office, Albuquerque Area Office)",equal-employment-opportunity-commission--phoenix-district-office-denver-field-office-albuqu,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
"San Francisco District Office (Seattle Field Office, Oakland and San Jose Local Offices)",equal-employment-opportunity-commission--san-francisco-district-office-seattle-field-office,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
St. Louis District Office (Kansas City and Oklahoma Area Offices),equal-employment-opportunity-commission--st-louis-district-office-kansas-city-and-oklahoma-,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
Washington Field Office,equal-employment-opportunity-commission--washington-field-office,yes,https://egov.eeoc.gov/foia/client/submit_request.aspx
Department of Commerce,department-of-commerce,yes,https://foiaonline.regulations.gov/foia/action/public/home
Bureau of Industry and Security,department-of-commerce--bureau-of-industry-and-security,yes,https://foiaonline.regulations.gov/foia/action/public/home
Economic Development Administration,department-of-commerce--economic-development-administration,yes,https://foiaonline.regulations.gov/foia/action/public/home
Economics and Statistics Administration Bureau,department-of-commerce--economics-and-statistics-administration-bureau,yes,https://foiaonline.regulations.gov/foia/action/public/home
National Telecommunications and Information Administration,department-of-commerce--national-telecommunications-and-information-admini,yes,https://foiaonline.regulations.gov/foia/action/public/home
Office of the Secretary,department-of-commerce--office-of-the-secretary,yes,https://foiaonline.regulations.gov/foia/action/public/home
General Services Administration,general-services-administration,yes,https://foiaonline.regulations.gov/foia/action/public/home
United States Postal Service,united-states-postal-service,yes,"https://pfoiapal.usps.com/palMain.aspx"
Railroad Retirement Board,railroad-retirement-board,yes,https://secure.rrb.gov/efoia/
Department of the Army - Freedom of Information and Privacy Office,department-of-defense--department-of-the-army-freedom-of-information-and-,yes,https://www.rmda.army.mil/foia/foiarequest/default.aspx
